0.005,157.3
0.01,126.2
0.015,121.8
0.02,121.2
0.025,129.4
0.03,133.3
0.035,122.9
0.04,117.7
0.045,117.2
0.05,112.5
0.055,86.1
0.06,84.9
0.065,85.9
0.07,86.4
0.075,92.0
0.08,95.8
0.085,86.1
0.09,85.5
0.095,92.4
0.1,85.5
0.105,85.1
0.11,86.3
0.115,86.2
0.12,85.5
0.125,86.0
0.13,99.5
0.135,89.2
0.14,85.9
0.145,85.4
0.15,85.3
0.155,85.1
0.16,85.5
0.165,87.9
0.17,87.0
0.175,87.2
0.18,88.1
0.185,86.9
0.19,87.5
0.195,96.0
0.2,101.8
0.205,92.8
0.21,107.3
0.215,140.3
0.22,104.4
0.225,88.8
0.23,87.4
0.235,88.7
0.24,87.9
0.245,87.6
0.25,91.9
0.255,91.4
0.26,88.8
0.265,89.1
0.27,87.9
0.275,88.0
0.28,90.1
0.285,89.0
0.29,87.1
0.295,95.8
0.3,89.6
