0.005,175.4
0.01,159.7
0.015,162.2
0.02,157.6
0.025,153.9
0.03,161.6
0.035,159.7
0.04,150.0
0.045,161.5
0.05,153.7
0.055,86.1
0.06,93.4
0.065,84.7
0.07,84.4
0.075,85.5
0.08,85.3
0.085,84.5
0.09,84.4
0.095,85.2
0.1,84.8
0.105,84.1
0.11,84.1
0.115,84.1
0.12,86.6
0.125,84.0
0.13,84.1
0.135,88.6
0.14,90.4
0.145,89.4
0.15,136.3
0.155,112.2
0.16,92.9
0.165,100.1
0.17,100.6
0.175,88.9
0.18,101.5
0.185,106.3
0.19,88.9
0.195,86.1
0.2,85.5
0.205,84.6
0.21,85.0
0.215,86.9
0.22,86.9
0.225,86.9
0.23,87.0
0.235,85.6
0.24,84.5
0.245,85.0
0.25,84.8
0.255,85.9
0.26,86.8
0.265,87.3
0.27,88.7
0.275,87.2
0.28,94.9
0.285,89.7
0.29,86.9
0.295,86.8
0.3,87.2
